Altium Designer Pick and Place Locations
D:\OcanathProj\PCB\robot-cortex-pcb\Project Outputs for robot-cortex\Pick Place for pcb(Has Power Management).csv

========================================================================================================================
File Design Information:

Date:       27/09/20
Time:       12:21
Revision:   02320f434fa6f0165769d1deb58ad1389b632aa3
Variant:    Has Power Management
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Comment","Footprint"
"C16","-13.8316","-5.7468","90","TopLayer","20pF 0402","C0402"
"C15","-8.8786","-5.7468","270","TopLayer","20pF 0402","C0402"
"C14","-7.7116","-2.8258","270","TopLayer","4.7pF 0402","C0402"
"C13","-9.5136","-2.8258","270","TopLayer","2.2nF 0402","C0402"
"C12","-8.7516","1.5272","90","TopLayer","1nF 0402","C0402"
"C11","-9.6406","1.5112","90","TopLayer","10nF 0402","C0402"
"C10","-13.2696","2.1082","180","TopLayer","33nF 0402","C0402"
"C9","-6.1926","1.2382","90","TopLayer","1.0pF 0402","C0402"
"C8","-6.5926","-0.0398","360","TopLayer","1.5pF 0402","C0402"
"R5","-32.6521","-0.1595","180","TopLayer","470 0402","R0402"
"R4","-32.6521","0.7295","180","TopLayer","470 0402","R0402"
"R3","-32.6521","1.6185","180","TopLayer","470 0402","R0402"
"R1","-20.3186","-6.9556","180","BottomLayer","120 0402","R0402"
"LED1","-30.7471","0.7295","360","TopLayer","MSL0402RGBU","MSL0402RGBU"
"J2","-36.9478","7.8274","0","BottomLayer","53261-0271","0532610271"
"C7","-29.0349","8.1413","180","TopLayer","100nF 0402","C0402"
"C6","-29.5429","-2.2917","90","TopLayer","100nF 0402","C0402"
"C4","-17.3509","-4.3046","180","TopLayer","4.7uF 0603","C0603"
